Age,Gender,Education Level,Department,Job Title,Years of Experience,Location,Salary
31.0,Male,Bachelor's,Sales,Account Manager,6.0,Tier-2 City,59698.55
32.0,Male,Master's,Marketing,SEO Specialist,1.0,Metro City,66330.2
43.0,Female,PhD,IT,IT Support,14.0,Metro City,164439.25
33.0,Male,Bachelor's,Sales,Sales Manager,10.0,Tier-2 City,61610.79
34.0,Male,Bachelor's,Finance,Accountant,8.0,Remote,60361.17
40.0,Female,Master's,Sales,Sales Executive,9.0,Tier-2 City,62266.7
44.0,Male,Bachelor's,Marketing,SEO Specialist,10.0,Remote,59461.2
33.0,Male,High School,Operations,Logistics Coordinator,11.0,Remote,33143.19
21.0,Female,Master's,Operations,Operations Analyst,,Metro City,49874.64
32.0,Female,Bachelor's,Operations,Logistics Coordinator,6.0,Tier-2 City,52550.54
42.0,Female,Master's,Marketing,Marketing Manager,14.0,Metro City,111555.39
33.0,Male,Bachelor's,Operations,Logistics Coordinator,9.0,Remote,46286.34
23.0,Female,Bachelor's,Marketing,Marketing Executive,3.0,Remote,50164.02
24.0,Female,Bachelor's,IT,Software Engineer,4.0,Tier-2 City,54987.04
27.0,Male,Bachelor's,Marketing,Marketing Manager,0.0,Metro City,61347.01
44.0,Female,Bachelor's,Finance,Financial Analyst,15.0,Metro City,83278.26
34.0,Female,Bachelor's,Operations,Operations Analyst,10.0,Remote,54398.43
30.0,Female,Bachelor's,HR,HR Executive,4.0,Metro City,47851.6
43.0,Male,Master's,Marketing,SEO Specialist,16.0,Metro City,103525.58
33.0,Male,Master's,IT,Software Engineer,12.0,Remote,100215.78
23.0,Male,Bachelor's,Marketing,Marketing Executive,0.0,Tier-2 City,39096.24
42.0,Male,Bachelor's,Marketing,SEO Specialist,4.0,Metro City,52172.54
39.0,Male,Bachelor's,Operations,Operations Manager,15.0,Tier-2 City,65210.76
44.0,Male,High School,Marketing,Marketing Executive,19.0,Remote,51764.69
37.0,Female,Bachelor's,HR,HR Executive,13.0,Remote,58417.06
25.0,Female,High School,HR,Recruiter,5.0,Remote,32234.84
22.0,Male,Bachelor's,Sales,Sales Manager,2.0,Remote,49342.97
30.0,Female,Bachelor's,Marketing,Marketing Executive,10.0,Metro City,61514.82
25.0,Female,Master's,IT,DevOps Engineer,1.0,Remote,59649.78
33.0,Male,Bachelor's,Sales,Account Manager,7.0,Metro City,69539.91
28.0,Female,Bachelor's,Marketing,Marketing Manager,4.0,Remote,57567.61
30.0,Female,Bachelor's,Sales,Sales Executive,4.0,Remote,41777.25
33.0,Male,PhD,Marketing,SEO Specialist,2.0,Remote,77692.4
29.0,Male,High School,Finance,Finance Manager,8.0,Remote,53491.78
34.0,Male,Master's,IT,Data Analyst,4.0,Tier-2 City,74515.56
33.0,Male,PhD,Sales,Sales Executive,4.0,Remote,78431.74
32.0,Female,Master's,Sales,Sales Manager,12.0,Metro City,94130.45
32.0,Female,Bachelor's,Operations,Operations Manager,6.0,Metro City,66952.12
24.0,Female,PhD,HR,HR Executive,4.0,Metro City,74132.82
36.0,Male,Bachelor's,Sales,Sales Manager,10.0,Tier-2 City,62197.55
38.0,Female,Bachelor's,Finance,Financial Analyst,9.0,Metro City,71694.98
36.0,Female,Master's,Finance,Financial Analyst,5.0,Tier-2 City,65602.91
32.0,Male,PhD,IT,Software Engineer,6.0,Tier-2 City,106765.73
50.0,Female,Bachelor's,Sales,Sales Executive,14.0,Tier-2 City,61486.72
33.0,Male,PhD,Operations,Logistics Coordinator,13.0,Metro City,112348.58
27.0,Female,Bachelor's,Marketing,SEO Specialist,2.0,Metro City,48855.32
24.0,Female,Master's,Sales,Account Manager,4.0,Tier-2 City,56422.23
40.0,Male,PhD,Finance,Financial Analyst,4.0,Remote,84345.22
21.0,Female,High School,IT,Data Analyst,0.0,Metro City,36230.0
22.0,Male,PhD,Sales,Sales Manager,0.0,Remote,71625.13
36.0,Male,PhD,HR,HR Manager,5.0,Metro City,92954.2
37.0,Female,Master's,IT,Software Engineer,9.0,Tier-2 City,83074.97
21.0,Female,Master's,Operations,Logistics Coordinator,1.0,Tier-2 City,44499.69
43.0,Female,High School,Finance,Finance Manager,12.0,Remote,53511.77
40.0,Female,Master's,HR,Recruiter,11.0,Metro City,77867.37
56.0,Female,High School,Finance,Finance Manager,24.0,Tier-2 City,71281.83
25.0,Male,High School,Finance,Financial Analyst,0.0,Remote,31590.88
42.0,Female,High School,IT,DevOps Engineer,14.0,Metro City,64751.8
30.0,Male,Master's,IT,IT Support,7.0,Tier-2 City,75516.28
39.0,Male,High School,Operations,Logistics Coordinator,16.0,Tier-2 City,40722.63
38.0,Male,Master's,Marketing,Marketing Executive,7.0,Metro City,81897.24
33.0,Male,High School,Sales,Sales Executive,7.0,Remote,33579.39
40.0,Male,Bachelor's,Sales,Sales Executive,15.0,Metro City,71474.25
30.0,Male,Bachelor's,Sales,Sales Manager,5.0,Tier-2 City,56891.03
44.0,Male,Bachelor's,Sales,Sales Manager,4.0,Tier-2 City,55175.79
47.0,Male,Master's,Operations,Operations Manager,16.0,Metro City,114408.73
46.0,Female,Master's,IT,DevOps Engineer,16.0,Remote,120165.44
31.0,Female,Bachelor's,Operations,Logistics Coordinator,6.0,Metro City,55908.71
38.0,Male,High School,HR,HR Executive,14.0,Metro City,38138.59
21.0,Female,High School,Marketing,Marketing Executive,0.0,Metro City,22962.76
34.0,Female,PhD,Marketing,Marketing Manager,8.0,Remote,103429.85
26.0,Female,Bachelor's,HR,Recruiter,5.0,Metro City,48840.78
21.0,Male,High School,HR,HR Executive,1.0,Metro City,23175.55
34.0,Male,High School,Operations,Operations Manager,11.0,Tier-2 City,44743.34
33.0,Male,Master's,Operations,Logistics Coordinator,8.0,Metro City,77363.36
50.0,Male,Master's,HR,HR Manager,20.0,Metro City,117033.68
46.0,Female,High School,Finance,Accountant,14.0,Metro City,57907.95
37.0,Male,Bachelor's,Operations,Operations Manager,10.0,Tier-2 City,62585.94
40.0,Male,High School,Operations,Operations Analyst,8.0,Metro City,39754.43
25.0,Male,Bachelor's,Operations,Operations Analyst,0.0,Metro City,48508.89
42.0,Male,Bachelor's,Sales,Sales Manager,,Tier-2 City,57377.34
23.0,Male,Bachelor's,Marketing,Marketing Executive,2.0,Tier-2 City,39324.95
27.0,Male,High School,HR,HR Manager,0.0,Metro City,37695.51
34.0,Female,High School,Operations,Operations Manager,7.0,Metro City,48754.91
39.0,Male,Master's,Finance,Financial Analyst,3.0,Remote,64358.95
21.0,Female,Master's,Operations,Operations Analyst,0.0,Tier-2 City,42003.48
30.0,Male,Bachelor's,Operations,Logistics Coordinator,0.0,Metro City,36428.68
26.0,Female,Master's,IT,IT Support,4.0,Tier-2 City,71401.46
33.0,Male,PhD,HR,Recruiter,5.0,Remote,65690.24
49.0,Female,Master's,Marketing,Marketing Manager,17.0,Metro City,119523.02
27.0,Female,Bachelor's,Finance,Finance Manager,0.0,Metro City,60864.75
37.0,Female,Master's,HR,HR Manager,11.0,Tier-2 City,74564.13
22.0,Female,High School,Finance,Financial Analyst,0.0,Remote,30533.04
45.0,Male,Master's,Finance,Finance Manager,18.0,Tier-2 City,113344.86
49.0,Female,Bachelor's,IT,IT Support,16.0,Metro City,106785.81
24.0,Male,Bachelor's,Sales,Sales Manager,1.0,Metro City,53705.59
44.0,Female,Master's,HR,Recruiter,12.0,Tier-2 City,65921.66
25.0,Male,Bachelor's,Finance,Finance Manager,0.0,Metro City,68900.59
37.0,Male,Bachelor's,Marketing,Marketing Manager,9.0,Tier-2 City,66308.37
35.0,Male,Bachelor's,IT,IT Support,6.0,Metro City,71366.41
21.0,Male,High School,Marketing,Marketing Manager,1.0,Metro City,48819.84
32.0,Female,PhD,Finance,Finance Manager,2.0,Tier-2 City,89699.69
39.0,Male,High School,HR,Recruiter,16.0,Tier-2 City,39377.42
35.0,Female,PhD,IT,Software Engineer,6.0,Remote,101774.27
29.0,Female,PhD,Sales,Account Manager,9.0,Tier-2 City,97194.36
28.0,Female,Master's,Operations,Logistics Coordinator,4.0,Tier-2 City,53841.15
49.0,Female,High School,Operations,Logistics Coordinator,20.0,Remote,50023.41
41.0,Male,Master's,Finance,Finance Manager,9.0,Tier-2 City,86531.82
24.0,Female,Master's,Marketing,Marketing Executive,4.0,Tier-2 City,55716.91
38.0,Female,Master's,Operations,Operations Manager,15.0,Tier-2 City,89389.93
31.0,Male,Bachelor's,IT,IT Support,0.0,Tier-2 City,43475.39
37.0,Male,High School,Operations,Operations Manager,9.0,Metro City,48400.79
48.0,Female,Bachelor's,Sales,Sales Executive,17.0,Tier-2 City,61979.67
38.0,Female,High School,HR,HR Executive,15.0,Tier-2 City,39197.03
55.0,Female,Bachelor's,Sales,Sales Manager,19.0,Remote,81277.45
21.0,Female,Bachelor's,IT,Software Engineer,0.0,Metro City,56747.12
31.0,Male,Master's,HR,HR Executive,2.0,Tier-2 City,46288.25
44.0,Female,PhD,Operations,Logistics Coordinator,15.0,Remote,96760.1
35.0,Male,High School,HR,Recruiter,6.0,Remote,38140.84
32.0,Male,Master's,IT,Software Engineer,4.0,Tier-2 City,69728.19
21.0,Male,PhD,IT,IT Support,0.0,Metro City,92682.59
29.0,Male,Bachelor's,HR,HR Executive,7.0,Metro City,54222.25
41.0,Female,Master's,IT,DevOps Engineer,10.0,Metro City,111257.71
47.0,Male,Bachelor's,Sales,Account Manager,17.0,Tier-2 City,78550.23
34.0,Female,PhD,Operations,Operations Analyst,11.0,Remote,91653.9
31.0,Male,Bachelor's,IT,IT Support,4.0,Remote,55982.47
34.0,Female,Master's,Marketing,Marketing Manager,7.0,Tier-2 City,77497.64
36.0,Male,High School,Finance,Finance Manager,5.0,Metro City,61547.86
40.0,Male,Master's,Operations,Operations Analyst,7.0,Metro City,77414.58
37.0,Female,Bachelor's,Operations,Operations Analyst,13.0,Metro City,66413.66
35.0,Female,Bachelor's,IT,Data Analyst,9.0,Metro City,87704.19
36.0,Female,High School,Marketing,SEO Specialist,9.0,Remote,37270.74
29.0,Male,Bachelor's,HR,Recruiter,4.0,Tier-2 City,43585.89
21.0,Female,High School,Finance,Financial Analyst,0.0,Remote,33949.79
21.0,Female,Bachelor's,Sales,Account Manager,0.0,Remote,55967.74
36.0,Male,High School,IT,Software Engineer,9.0,Metro City,54060.6
53.0,Female,Bachelor's,Operations,Operations Analyst,12.0,Tier-2 City,54234.81
41.0,Female,Bachelor's,Operations,Logistics Coordinator,14.0,Metro City,67655.1
49.0,Female,Bachelor's,Marketing,Marketing Executive,,Metro City,76237.41
25.0,Female,Master's,HR,Recruiter,5.0,Metro City,59321.55
40.0,Female,Bachelor's,IT,DevOps Engineer,,Metro City,78012.92
40.0,Male,High School,Marketing,SEO Specialist,20.0,Tier-2 City,49867.51
30.0,Male,Master's,Finance,Accountant,3.0,Metro City,72769.93
28.0,Female,Master's,HR,Recruiter,7.0,Tier-2 City,56414.72
56.0,Female,High School,HR,Recruiter,22.0,Metro City,51896.55
60.0,Male,Bachelor's,Marketing,SEO Specialist,28.0,Metro City,108124.05
40.0,Male,Bachelor's,Sales,Account Manager,10.0,Metro City,70373.28
21.0,Male,High School,Finance,Finance Manager,1.0,Metro City,49823.36
33.0,Female,Bachelor's,Finance,Financial Analyst,9.0,Metro City,71332.05
42.0,Female,Bachelor's,HR,HR Manager,14.0,Metro City,86413.87
27.0,Female,Master's,Marketing,Marketing Executive,7.0,Remote,67073.27
33.0,Male,PhD,Finance,Financial Analyst,12.0,Tier-2 City,107874.69
36.0,Male,PhD,HR,HR Executive,6.0,Tier-2 City,69702.31
35.0,Female,Bachelor's,Finance,Financial Analyst,4.0,Metro City,57340.35
34.0,Female,Master's,Finance,Financial Analyst,14.0,Remote,95356.78
28.0,Female,Master's,Operations,Logistics Coordinator,3.0,Metro City,60046.79
50.0,Female,High School,IT,IT Support,15.0,Metro City,56326.9
40.0,Female,Master's,IT,Data Analyst,12.0,Metro City,114536.27
31.0,Male,Master's,Marketing,SEO Specialist,2.0,Metro City,62022.7
36.0,Female,Bachelor's,Marketing,SEO Specialist,5.0,Tier-2 City,47757.54
46.0,Male,High School,IT,Data Analyst,14.0,Metro City,60445.73
38.0,Male,Bachelor's,HR,HR Manager,12.0,Remote,67080.57
29.0,Male,Bachelor's,Sales,Sales Executive,1.0,Metro City,52120.84
39.0,Male,Bachelor's,Operations,Logistics Coordinator,9.0,Tier-2 City,51406.44
21.0,Female,Master's,Operations,Logistics Coordinator,0.0,Remote,50935.71
35.0,Male,Master's,IT,IT Support,0.0,Tier-2 City,57011.3
42.0,Female,Master's,Marketing,Marketing Executive,4.0,Metro City,73015.22
39.0,Male,High School,Marketing,Marketing Manager,10.0,Metro City,55268.6
21.0,Male,Bachelor's,HR,HR Manager,1.0,Metro City,53245.47
,Male,Bachelor's,HR,HR Executive,1.0,Remote,34959.89
21.0,Female,Master's,HR,Recruiter,0.0,Tier-2 City,39474.42
28.0,Male,Master's,IT,Data Analyst,8.0,Remote,87144.67
40.0,Male,Master's,Operations,Logistics Coordinator,12.0,Remote,78890.04
33.0,Female,Master's,HR,HR Executive,7.0,Tier-2 City,50191.07
27.0,Female,Master's,Sales,Account Manager,4.0,Metro City,86114.28
29.0,Female,Bachelor's,Operations,Operations Manager,4.0,Metro City,64807.11
56.0,Male,High School,Operations,Operations Analyst,22.0,Tier-2 City,44963.7
37.0,Male,Bachelor's,Finance,Accountant,8.0,Tier-2 City,60294.63
44.0,Female,Bachelor's,Sales,Account Manager,15.0,Metro City,86315.94
40.0,Female,Bachelor's,Finance,Accountant,12.0,Tier-2 City,63050.09
29.0,Male,Bachelor's,Operations,Operations Analyst,7.0,Tier-2 City,46591.23
51.0,Male,Bachelor's,IT,IT Support,17.0,Remote,92628.23
31.0,Female,Bachelor's,Finance,Accountant,2.0,Metro City,56674.19
51.0,Female,Bachelor's,IT,IT Support,15.0,Metro City,104679.83
26.0,Male,Bachelor's,IT,Data Analyst,0.0,Metro City,60706.16
48.0,Male,High School,Marketing,SEO Specialist,18.0,Metro City,55871.77
49.0,Female,PhD,Marketing,SEO Specialist,17.0,Metro City,142103.3
34.0,Male,Master's,Sales,Sales Manager,8.0,Tier-2 City,79383.82
33.0,Male,Bachelor's,Finance,Financial Analyst,13.0,Metro City,80622.67
26.0,Female,Bachelor's,Finance,Financial Analyst,4.0,Tier-2 City,47048.86
25.0,Female,Bachelor's,Operations,Operations Manager,0.0,Remote,46801.84
54.0,Male,Bachelor's,Sales,Account Manager,11.0,Tier-2 City,67035.68
38.0,Female,High School,HR,Recruiter,,Metro City,33232.45
52.0,Male,Bachelor's,IT,DevOps Engineer,13.0,Tier-2 City,80266.25
53.0,Female,Bachelor's,Finance,Accountant,16.0,Tier-2 City,77620.27
21.0,Male,High School,Finance,Financial Analyst,1.0,Metro City,37131.01
21.0,Female,High School,Finance,Financial Analyst,1.0,Remote,27418.4
33.0,Female,Bachelor's,Marketing,SEO Specialist,0.0,Tier-2 City,37696.36
33.0,Female,Bachelor's,IT,IT Support,4.0,Tier-2 City,59825.26
42.0,Male,Bachelor's,HR,HR Manager,12.0,Metro City,70020.06
34.0,Female,PhD,Operations,Operations Manager,12.0,Remote,112175.81
42.0,Female,Bachelor's,Finance,Accountant,15.0,Remote,75445.64
42.0,Male,Bachelor's,IT,DevOps Engineer,17.0,Remote,89842.81
32.0,Female,Bachelor's,Operations,Operations Analyst,8.0,Tier-2 City,44473.51
49.0,Female,Master's,HR,HR Manager,15.0,Tier-2 City,84440.46
39.0,Female,Bachelor's,Marketing,SEO Specialist,9.0,Metro City,63496.1
53.0,Male,Bachelor's,IT,IT Support,17.0,Tier-2 City,78630.85
32.0,Male,PhD,HR,HR Executive,5.0,Tier-2 City,68501.86
40.0,Female,Bachelor's,Operations,Operations Manager,10.0,Tier-2 City,57321.86
43.0,Male,PhD,HR,HR Manager,13.0,Tier-2 City,103759.11
31.0,Male,PhD,Marketing,Marketing Executive,4.0,Metro City,91162.33
35.0,Female,Bachelor's,Finance,Financial Analyst,7.0,Remote,58742.03
31.0,Male,Bachelor's,IT,Software Engineer,,Tier-2 City,59279.47
40.0,Male,High School,Operations,Logistics Coordinator,9.0,Metro City,45024.73
42.0,Female,High School,IT,DevOps Engineer,22.0,Metro City,68024.86
46.0,Female,Master's,HR,HR Manager,13.0,Metro City,98890.43
30.0,Male,Bachelor's,HR,HR Manager,4.0,Metro City,59833.66
43.0,Male,High School,Sales,Sales Manager,12.0,Remote,48780.71
32.0,Female,Master's,HR,HR Executive,4.0,Tier-2 City,50146.27
37.0,Female,PhD,IT,DevOps Engineer,10.0,Tier-2 City,110543.32
34.0,Female,Bachelor's,Sales,Sales Executive,0.0,Metro City,44367.39
21.0,Female,High School,Finance,Accountant,0.0,Remote,30682.9
28.0,Male,PhD,Finance,Accountant,0.0,Tier-2 City,68351.37
35.0,Male,Bachelor's,IT,Data Analyst,9.0,Metro City,76811.63
49.0,Male,Master's,HR,HR Manager,19.0,Tier-2 City,95628.22
22.0,Male,High School,Marketing,Marketing Manager,2.0,Tier-2 City,42703.47
35.0,Male,Bachelor's,HR,Recruiter,14.0,Metro City,68521.48
34.0,Male,Bachelor's,Finance,Finance Manager,5.0,Remote,66122.17
41.0,Male,Bachelor's,Operations,Operations Analyst,11.0,Tier-2 City,56396.08
23.0,Female,Master's,Finance,Finance Manager,2.0,Metro City,77903.66
26.0,Male,Bachelor's,HR,HR Executive,6.0,Tier-2 City,36893.89
39.0,Female,Master's,IT,Data Analyst,12.0,Remote,97315.87
21.0,Female,High School,Finance,Financial Analyst,1.0,Metro City,37961.21
25.0,Male,Master's,Operations,Operations Manager,5.0,Tier-2 City,66570.31
58.0,Male,Bachelor's,IT,Software Engineer,13.0,Metro City,92476.75
42.0,Male,Bachelor's,Sales,Account Manager,13.0,Tier-2 City,64964.43
21.0,Male,Bachelor's,Sales,Account Manager,0.0,Metro City,52939.97
22.0,Male,High School,HR,Recruiter,0.0,Metro City,23175.53
26.0,Male,Master's,HR,Recruiter,0.0,Tier-2 City,45997.3
42.0,Male,Bachelor's,IT,Data Analyst,7.0,Metro City,81454.12
37.0,Female,Master's,HR,HR Manager,3.0,Tier-2 City,59061.8
,Male,Bachelor's,Marketing,Marketing Manager,10.0,Remote,74133.73
49.0,Male,Master's,Marketing,Marketing Manager,5.0,Metro City,88695.49
33.0,Male,High School,IT,DevOps Engineer,7.0,Metro City,45929.82
42.0,Female,Master's,Finance,Accountant,8.0,Metro City,91509.93
35.0,Female,PhD,Finance,Accountant,15.0,Remote,121830.16
28.0,Male,Master's,IT,Software Engineer,6.0,Metro City,94177.44
34.0,Female,Master's,Sales,Sales Manager,1.0,Metro City,77763.79
37.0,Female,Bachelor's,Sales,Sales Manager,12.0,Tier-2 City,72000.53
26.0,Female,Bachelor's,Marketing,SEO Specialist,6.0,Remote,48593.39
24.0,Male,High School,Marketing,Marketing Executive,4.0,Metro City,32969.69
37.0,Male,Master's,Marketing,Marketing Manager,11.0,Tier-2 City,81699.72
37.0,Female,Bachelor's,Marketing,Marketing Executive,9.0,Tier-2 City,57374.29
21.0,Female,Master's,Operations,Logistics Coordinator,1.0,Tier-2 City,40316.14
26.0,Male,Bachelor's,Finance,Accountant,1.0,Metro City,54772.31
36.0,Female,Bachelor's,Operations,Logistics Coordinator,10.0,Remote,60350.57
33.0,Female,Bachelor's,HR,HR Executive,10.0,Tier-2 City,51389.79
23.0,Female,Master's,Finance,Accountant,0.0,Remote,52501.98
45.0,Male,Master's,Sales,Sales Executive,10.0,Metro City,82340.79
,Female,Master's,Operations,Logistics Coordinator,12.0,Metro City,82102.81
34.0,Female,High School,Finance,Financial Analyst,9.0,Tier-2 City,33884.01
46.0,Male,High School,Sales,Sales Manager,9.0,Metro City,52177.4
35.0,Male,Master's,Sales,Sales Executive,8.0,Remote,62449.37
33.0,Male,Master's,IT,IT Support,5.0,Metro City,99630.36
33.0,Female,High School,HR,HR Executive,7.0,Tier-2 City,31938.08
43.0,Male,Master's,Marketing,Marketing Executive,17.0,Tier-2 City,81542.45
27.0,Female,Master's,Marketing,Marketing Executive,2.0,Metro City,67415.41
41.0,Male,Bachelor's,IT,IT Support,11.0,Remote,75937.04
24.0,Female,Master's,HR,HR Executive,0.0,Tier-2 City,41379.36
39.0,Female,High School,HR,Recruiter,17.0,Remote,36288.0
50.0,Female,Bachelor's,Operations,Logistics Coordinator,19.0,Metro City,83824.91
48.0,Male,Master's,Marketing,Marketing Executive,16.0,Metro City,103238.63
21.0,Male,PhD,Sales,Account Manager,1.0,Metro City,87008.83
36.0,Female,High School,HR,HR Executive,4.0,Remote,33464.29
57.0,Male,High School,HR,Recruiter,23.0,Tier-2 City,45977.97
36.0,Male,Master's,HR,HR Manager,5.0,Tier-2 City,66069.73
28.0,Male,Master's,IT,IT Support,6.0,Metro City,92269.54
42.0,Male,Master's,Operations,Operations Manager,8.0,Metro City,84508.61
36.0,Male,Master's,Operations,Logistics Coordinator,13.0,Remote,78473.34
22.0,Male,Master's,Marketing,Marketing Executive,2.0,Metro City,63774.62
35.0,Male,Bachelor's,Operations,Operations Analyst,0.0,Metro City,42739.22
46.0,Male,Bachelor's,HR,Recruiter,23.0,Tier-2 City,65038.53
29.0,Male,High School,Marketing,SEO Specialist,2.0,Tier-2 City,26033.95
31.0,Male,Bachelor's,IT,IT Support,8.0,Metro City,73711.55
31.0,Male,Bachelor's,IT,Data Analyst,0.0,Metro City,61765.04
31.0,Female,PhD,Marketing,Marketing Executive,11.0,Metro City,110927.93
32.0,Female,High School,HR,HR Executive,12.0,Remote,35174.44
34.0,Male,Bachelor's,Marketing,SEO Specialist,12.0,Metro City,73860.43
39.0,Male,Master's,Finance,Finance Manager,11.0,Tier-2 City,88510.57
21.0,Male,High School,HR,Recruiter,0.0,Metro City,20486.06
44.0,Female,Bachelor's,Sales,Account Manager,8.0,Tier-2 City,57803.04
44.0,Female,High School,Finance,Accountant,6.0,Tier-2 City,43369.09
21.0,Female,High School,HR,HR Manager,0.0,Metro City,39612.28
25.0,Male,Master's,Finance,Financial Analyst,1.0,Tier-2 City,55983.64
42.0,Male,Bachelor's,HR,Recruiter,12.0,Metro City,65926.11
30.0,Male,Master's,Operations,Logistics Coordinator,10.0,Tier-2 City,66170.79
24.0,Male,High School,Finance,Finance Manager,4.0,Metro City,45800.14
40.0,Female,Master's,IT,DevOps Engineer,9.0,Remote,92818.24
47.0,Male,Bachelor's,Marketing,Marketing Executive,14.0,Metro City,72915.72
21.0,Female,PhD,IT,Software Engineer,0.0,Metro City,97166.04
26.0,Female,PhD,Operations,Logistics Coordinator,3.0,Remote,64301.88
39.0,Male,PhD,Marketing,Marketing Executive,16.0,Metro City,135747.45
49.0,Female,Bachelor's,HR,Recruiter,15.0,Metro City,67448.87
32.0,Male,High School,Marketing,SEO Specialist,9.0,Remote,40649.29
40.0,Male,Bachelor's,Marketing,SEO Specialist,2.0,Metro City,51249.12
27.0,Female,PhD,HR,HR Manager,5.0,Tier-2 City,77641.8
38.0,Male,Bachelor's,Sales,Sales Manager,14.0,Metro City,87105.34
29.0,Female,High School,HR,HR Manager,4.0,Remote,45910.23
27.0,Male,Master's,Operations,Operations Manager,3.0,Tier-2 City,67060.07
29.0,Male,Bachelor's,IT,DevOps Engineer,1.0,Tier-2 City,51727.19
39.0,Male,Master's,IT,IT Support,15.0,Remote,106108.02
28.0,Female,Bachelor's,IT,Software Engineer,7.0,Metro City,72678.14
33.0,Female,High School,Finance,Finance Manager,6.0,Remote,47042.72
21.0,Male,Bachelor's,Finance,Finance Manager,0.0,Tier-2 City,51903.34
31.0,Male,Bachelor's,Sales,Sales Executive,0.0,Tier-2 City,43303.92
43.0,Male,Master's,Sales,Account Manager,14.0,Remote,91459.02
39.0,Female,Master's,HR,HR Executive,9.0,Metro City,76693.82
31.0,Male,Bachelor's,Finance,Accountant,8.0,Tier-2 City,53851.13
27.0,Female,Bachelor's,Finance,Finance Manager,1.0,Remote,57602.27
29.0,Female,PhD,Sales,Account Manager,9.0,Metro City,116105.46
24.0,Female,High School,Sales,Account Manager,0.0,Metro City,39860.46
38.0,Female,PhD,Marketing,SEO Specialist,14.0,Remote,106331.56
33.0,Male,Bachelor's,Operations,Operations Analyst,13.0,Tier-2 City,56700.09
31.0,Male,Master's,Marketing,Marketing Manager,7.0,Metro City,89363.1
43.0,Male,High School,Operations,Logistics Coordinator,19.0,Metro City,52037.54
29.0,Male,Master's,Finance,Finance Manager,9.0,Remote,86872.95
39.0,Female,Bachelor's,Marketing,SEO Specialist,15.0,Metro City,75748.24
29.0,Male,Bachelor's,HR,HR Manager,0.0,Metro City,54160.68
30.0,Female,Bachelor's,Operations,Operations Analyst,9.0,Metro City,53644.51
31.0,Female,Bachelor's,Sales,Account Manager,3.0,Remote,49253.57
25.0,Male,Bachelor's,Marketing,SEO Specialist,5.0,Tier-2 City,41096.61
,Female,Bachelor's,IT,IT Support,3.0,Tier-2 City,54949.4
37.0,Female,PhD,Finance,Accountant,10.0,Tier-2 City,100433.7
24.0,Female,Master's,Operations,Operations Manager,0.0,Metro City,64479.98
41.0,Female,Bachelor's,Operations,Logistics Coordinator,12.0,Metro City,62039.18
21.0,Male,Bachelor's,Marketing,SEO Specialist,1.0,Remote,44448.51
,Male,Master's,HR,Recruiter,17.0,Metro City,87719.51
40.0,Female,Bachelor's,Finance,Financial Analyst,13.0,Remote,66854.54
27.0,Male,Bachelor's,Finance,Finance Manager,7.0,Metro City,76949.08
23.0,Female,Master's,Operations,Operations Manager,3.0,Metro City,72959.0
28.0,Male,Master's,IT,Software Engineer,0.0,Metro City,76262.75
31.0,Female,Master's,Finance,Financial Analyst,9.0,Metro City,90968.6
27.0,Female,Master's,HR,HR Executive,6.0,Tier-2 City,54260.15
28.0,Female,Bachelor's,Finance,Financial Analyst,7.0,Metro City,63485.6
25.0,Male,Bachelor's,Marketing,Marketing Manager,0.0,Tier-2 City,48728.78
21.0,Female,Master's,Finance,Finance Manager,0.0,Tier-2 City,64840.89
28.0,Male,Bachelor's,Operations,Operations Manager,3.0,Tier-2 City,54767.35
32.0,Female,Bachelor's,HR,HR Executive,11.0,Tier-2 City,50488.32
39.0,Female,Bachelor's,Operations,Logistics Coordinator,12.0,Metro City,65103.67
39.0,Female,Bachelor's,IT,DevOps Engineer,10.0,Remote,75187.26
32.0,Male,Bachelor's,Finance,Accountant,12.0,Remote,68332.38
33.0,Male,Bachelor's,Operations,Operations Analyst,11.0,Tier-2 City,44584.07
46.0,Male,Bachelor's,Sales,Sales Executive,7.0,Metro City,66118.3
43.0,Male,Bachelor's,Finance,Financial Analyst,14.0,Tier-2 City,68115.45
27.0,Male,PhD,HR,HR Manager,7.0,Metro City,100804.73
42.0,Male,Bachelor's,Marketing,Marketing Executive,9.0,Tier-2 City,49039.48
32.0,Male,Bachelor's,IT,DevOps Engineer,0.0,Remote,50834.28
29.0,Male,High School,Finance,Finance Manager,0.0,Tier-2 City,40165.01
24.0,Male,Bachelor's,Marketing,Marketing Executive,0.0,Metro City,44369.62
32.0,Female,High School,Finance,Accountant,5.0,Metro City,44299.07
26.0,Female,High School,Finance,Accountant,0.0,Metro City,33694.94
27.0,Female,Master's,HR,Recruiter,0.0,Remote,44516.31
38.0,Male,Master's,Marketing,SEO Specialist,12.0,Tier-2 City,72206.33
54.0,Female,High School,HR,Recruiter,20.0,Metro City,49284.74
21.0,Male,Master's,IT,Data Analyst,0.0,Tier-2 City,60713.83
36.0,Female,Master's,Finance,Financial Analyst,8.0,Metro City,83267.3
35.0,Male,Master's,Marketing,Marketing Manager,7.0,Metro City,86859.73
23.0,Male,Bachelor's,Operations,Operations Manager,2.0,Tier-2 City,52255.53
41.0,Male,Bachelor's,Sales,Account Manager,11.0,Metro City,82289.85
